-1.03,-0.0,0.03
-1.03,-0.01,0.03
-1.03,0.01,0.04
-1.03,0.01,0.05
-1.02,-0.01,0.05
-1.02,0.0,0.02
-1.02,-0.01,0.04
-1.02,0.01,0.05
-1.02,-0.0,0.04
-1.03,0.01,0.03
-1.02,0.0,0.06
-1.01,0.0,0.03
-1.02,-0.01,0.04
-1.02,0.01,0.04
-1.02,0.01,0.04
-1.02,-0.01,0.02
-1.03,0.0,0.03
-1.02,0.01,0.04
-1.03,0.02,0.04
-1.02,0.01,0.05
-1.02,-0.01,0.02
-1.02,-0.01,0.03
-1.02,0.01,0.04
-1.02,-0.01,0.05
-1.03,-0.01,0.05
-1.02,-0.01,0.04
-1.03,-0.0,0.04
-1.02,-0.01,0.05
-1.03,0.01,0.05
-1.02,-0.02,0.05
-1.02,0.01,0.04
-1.02,-0.01,0.05
-1.02,-0.01,0.04
-1.03,-0.0,0.04
-1.02,0.01,0.05
-1.02,-0.01,0.05
-1.02,0.0,0.03
-1.02,-0.0,0.04
-1.03,0.02,0.05
-1.02,0.0,0.02
-1.03,-0.01,0.03
-1.02,0.01,0.04
-1.02,0.0,0.06
-1.02,0.01,0.04
-1.03,-0.01,0.04
-1.02,0.0,0.03
-1.02,0.0,0.05
-1.03,0.03,0.04
-1.04,-0.0,0.03
-1.03,-0.01,0.04
-1.03,0.02,0.04
-1.01,-0.02,0.07
-1.02,0.01,0.04
-1.03,-0.01,0.05
-1.01,0.0,0.04
-1.04,-0.0,0.03
-1.05,0.03,0.06
-1.03,0.0,0.06
-1.02,-0.01,0.02
-1.03,0.02,0.05
-1.04,0.01,0.06
-1.01,-0.02,0.02
-1.02,-0.02,0.02
-1.03,0.01,0.06
-1.03,0.01,0.05
-1.02,0.0,0.03
-1.03,-0.0,0.03
-1.02,0.0,0.03
-1.02,0.01,0.04
-1.02,0.0,0.05
-1.03,-0.01,0.03
-1.02,-0.01,0.04
-1.02,-0.0,0.04
-1.02,0.0,0.04
-1.02,0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.01,0.04
-1.02,0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.01,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.0,0.04
-1.02,0.0,0.05
-1.03,0.0,0.04
-1.02,0.0,0.04
-1.03,-0.0,0.04
-1.03,0.0,0.04
-1.01,-0.03,0.09
-1.01,-0.03,0.05
-1.02,-0.01,0.05
-1.03,0.0,0.06
-1.02,0.01,0.06
-1.02,-0.01,0.05
-1.01,-0.02,0.02
-1.03,0.0,0.01
-1.03,-0.0,0.06
-1.03,0.01,0.04
-1.03,-0.01,0.05
-1.02,0.01,0.04
-1.02,-0.0,0.04
-1.02,0.0,0.03
-1.02,-0.0,0.04
-1.02,0.01,0.03
-1.02,-0.0,0.04
-1.03,0.02,0.05
-1.03,-0.0,0.04
-1.02,-0.0,0.04
-1.02,-0.01,0.04
-1.02,0.0,0.04
-1.02,0.01,0.05
-1.02,0.01,0.02
-1.02,-0.0,0.05
-1.02,0.01,0.04
-1.02,-0.01,0.04
-1.02,-0.0,0.03
-1.02,0.01,0.04
-1.03,0.0,0.04
-1.02,-0.01,0.04
-1.02,-0.0,0.05
-1.02,-0.01,0.05
-1.02,-0.0,0.04
-1.02,-0.01,0.04
-1.03,-0.0,0.05
-1.02,0.0,0.04
-1.02,-0.02,0.05
-1.0,-0.03,0.07
-1.02,0.02,0.03
-1.02,-0.01,0.04
-1.02,0.01,0.04
-1.02,-0.01,0.05
-1.02,-0.01,0.04
-1.02,-0.01,0.04
-1.02,0.01,0.06
-1.02,0.01,0.05
-1.02,-0.01,0.04
-1.02,-0.01,0.04
-1.03,0.01,0.04
-1.04,0.02,0.04
-1.03,0.01,0.01
-1.03,-0.01,0.04
-1.03,0.02,0.05
-1.03,0.0,0.05
-1.02,0.01,0.05
-1.03,0.01,0.03
-1.03,-0.01,0.02
-1.03,0.01,0.05
-1.03,0.02,0.05
-1.03,-0.01,0.03
-1.03,-0.0,0.03
-1.03,0.01,0.03
-1.01,-0.02,0.07
-1.02,0.0,0.04
-1.02,-0.01,0.04
-1.02,0.01,0.03
-1.03,0.01,0.04
-1.02,-0.01,0.03
-1.01,-0.01,0.04
-1.02,0.0,0.04
-1.02,0.0,0.04
-1.02,-0.0,0.04
-1.01,0.01,0.03
-1.02,0.0,0.04
-1.03,-0.01,0.04
-1.03,0.02,0.01
-1.02,-0.01,0.05
-1.02,0.01,0.04
-1.02,0.01,0.04
-1.03,0.0,0.03
-1.03,-0.0,0.04
-1.02,0.0,0.04
-1.02,-0.01,0.04
-1.03,-0.0,0.04
-1.03,-0.01,0.04
-1.02,0.01,0.06
-1.02,-0.0,0.04
-1.02,-0.01,0.03
-1.02,-0.0,0.04
-1.02,-0.02,0.05
-1.02,-0.0,0.04
-1.02,-0.02,0.05
-1.02,0.0,0.04
-1.02,0.01,0.05
-1.02,-0.01,0.04
-1.02,0.0,0.04
-1.02,0.0,0.04
-1.02,0.01,0.02
-1.02,-0.01,0.04
-1.03,0.01,0.04
-1.05,0.02,0.0
-1.03,-0.0,0.05
-1.03,0.02,0.05
-1.03,-0.01,0.03
-1.03,-0.01,0.02
-1.03,0.02,0.05
-1.03,0.01,0.06
